trial;score
jusc_rest_prone_1_shot_02;9
jusc_rest_prone_1_shot_03;7
jusc_rest_prone_1_shot_04;10
jusc_rest_prone_1_shot_05;9
jusc_rest_prone_2_shot_01;10
jusc_rest_prone_2_shot_02;9
jusc_rest_prone_2_shot_03;9
jusc_rest_prone_2_shot_04;9
jusc_rest_prone_2_shot_05;8
jusc_rest_prone_3_shot_01;10
jusc_rest_prone_3_shot_02;8
jusc_rest_prone_3_shot_03;10
jusc_rest_prone_3_shot_04;9
jusc_rest_prone_3_shot_05;10
jusc_rest_standing_1_shot_01;7
jusc_rest_standing_1_shot_02;5
jusc_rest_standing_1_shot_03;2
jusc_rest_standing_1_shot_04;7
jusc_rest_standing_1_shot_05;7
jusc_rest_standing_2_shot_01;9
jusc_rest_standing_2_shot_02;7
jusc_rest_standing_2_shot_03;7
jusc_rest_standing_2_shot_04;7
jusc_rest_standing_2_shot_05;6
jusc_rest_standing_3_shot_01;7
jusc_rest_standing_3_shot_02;8
jusc_rest_standing_3_shot_03;7
jusc_rest_standing_3_shot_04;6
jusc_rest_standing_3_shot_05;5
jusc_load_prone_1_shot_01;10
jusc_load_prone_1_shot_02;10
jusc_load_prone_1_shot_03;10
jusc_load_prone_1_shot_04;8
jusc_load_prone_1_shot_05;10
jusc_load_prone_2_shot_01;8
jusc_load_prone_2_shot_02;9
jusc_load_prone_2_shot_03;9
jusc_load_prone_2_shot_04;6
jusc_load_prone_2_shot_05;9
jusc_load_standing_1_shot_01;6
jusc_load_standing_1_shot_02;5
jusc_load_standing_1_shot_03;7
jusc_load_standing_1_shot_04;6
jusc_load_standing_1_shot_05;8
jusc_load_standing_2_shot_01;2
jusc_load_standing_2_shot_02;5
jusc_load_standing_2_shot_03;6
jusc_load_standing_2_shot_04;5
jusc_load_standing_2_shot_05;2
kain_rest_prone_1_shot_01;10
kain_rest_prone_1_shot_02;10
kain_rest_prone_1_shot_03;9
kain_rest_prone_1_shot_04;8
kain_rest_prone_1_shot_05;9
kain_rest_prone_2_shot_01;10
kain_rest_prone_2_shot_02;8
kain_rest_prone_2_shot_03;9
kain_rest_prone_2_shot_04;9
kain_rest_prone_2_shot_05;9
kain_rest_prone_3_shot_01;8
kain_rest_prone_3_shot_02;9
kain_rest_prone_3_shot_03;7
kain_rest_prone_3_shot_04;10
kain_rest_prone_3_shot_05;9
kain_rest_standing_1_shot_01;9
kain_rest_standing_1_shot_02;10
kain_rest_standing_1_shot_03;8
kain_rest_standing_1_shot_04;7
kain_rest_standing_1_shot_05;6
kain_rest_standing_2_shot_01;6
kain_rest_standing_2_shot_02;7
kain_rest_standing_2_shot_03;8
kain_rest_standing_2_shot_04;7
kain_rest_standing_2_shot_05;6
kain_rest_standing_3_shot_01;8
kain_rest_standing_3_shot_02;8
kain_rest_standing_3_shot_03;8
kain_rest_standing_3_shot_04;9
kain_rest_standing_3_shot_05;8
kain_load_prone_1_shot_01;7
kain_load_prone_1_shot_02;8
kain_load_prone_1_shot_03;9
kain_load_prone_1_shot_04;8
kain_load_prone_1_shot_05;8
kain_load_prone_2_shot_01;9
kain_load_prone_2_shot_02;9
kain_load_prone_2_shot_03;7
kain_load_prone_2_shot_04;8
kain_load_prone_2_shot_05;8
kain_load_standing_1_shot_01;3
kain_load_standing_1_shot_02;7
kain_load_standing_1_shot_03;6
kain_load_standing_1_shot_04;8
kain_load_standing_1_shot_05;8
kain_load_standing_2_shot_01;6
kain_load_standing_2_shot_02;2
kain_load_standing_2_shot_03;0
kain_load_standing_2_shot_04;5
kain_load_standing_2_shot_05;2
klle_rest_prone_1_shot_01;9
klle_rest_prone_1_shot_02;10
klle_rest_prone_1_shot_03;10
klle_rest_prone_1_shot_04;9
klle_rest_prone_1_shot_05;9
klle_rest_prone_2_shot_01;9
klle_rest_prone_2_shot_02;9
klle_rest_prone_2_shot_03;10
klle_rest_prone_2_shot_04;9
klle_rest_prone_2_shot_05;9
klle_rest_prone_3_shot_01;10
klle_rest_prone_3_shot_02;9
klle_rest_prone_3_shot_03;9
klle_rest_prone_3_shot_04;8
klle_rest_prone_3_shot_05;10
klle_rest_standing_1_shot_01;6
klle_rest_standing_1_shot_02;7
klle_rest_standing_1_shot_03;7
klle_rest_standing_1_shot_04;4
klle_rest_standing_1_shot_05;8
klle_rest_standing_2_shot_01;5
klle_rest_standing_2_shot_02;6
klle_rest_standing_2_shot_03;6
klle_rest_standing_2_shot_04;6
klle_rest_standing_2_shot_05;8
klle_rest_standing_3_shot_01;4
klle_rest_standing_3_shot_02;6
klle_rest_standing_3_shot_03;6
klle_rest_standing_3_shot_04;6
klle_rest_standing_3_shot_05;8
klle_load_prone_1_shot_01;8
klle_load_prone_1_shot_02;9
klle_load_prone_1_shot_03;8
klle_load_prone_1_shot_04;6
klle_load_prone_1_shot_05;8
klle_load_prone_2_shot_01;8
klle_load_prone_2_shot_02;10
klle_load_prone_2_shot_03;9
klle_load_prone_2_shot_04;9
klle_load_prone_2_shot_05;8
klle_load_standing_1_shot_01;7
klle_load_standing_1_shot_02;8
klle_load_standing_1_shot_03;9
klle_load_standing_1_shot_04;6
klle_load_standing_1_shot_05;4
klle_load_standing_2_shot_01;6
klle_load_standing_2_shot_02;4
klle_load_standing_2_shot_03;6
klle_load_standing_2_shot_04;7
klle_load_standing_2_shot_05;7
liha_rest_prone_1_shot_01;9
liha_rest_prone_1_shot_02;10
liha_rest_prone_1_shot_03;8
liha_rest_prone_1_shot_04;7
liha_rest_prone_1_shot_05;10
liha_rest_prone_2_shot_01;8
liha_rest_prone_2_shot_02;9
liha_rest_prone_2_shot_03;9
liha_rest_prone_2_shot_04;9
liha_rest_prone_2_shot_05;10
liha_rest_prone_3_shot_01;9
liha_rest_prone_3_shot_02;10
liha_rest_prone_3_shot_03;8
liha_rest_prone_3_shot_04;9
liha_rest_prone_3_shot_05;9
liha_rest_standing_1_shot_01;8
liha_rest_standing_1_shot_02;6
liha_rest_standing_1_shot_03;6
liha_rest_standing_1_shot_04;10
liha_rest_standing_1_shot_05;8
liha_rest_standing_2_shot_01;4
liha_rest_standing_2_shot_02;4
liha_rest_standing_2_shot_03;8
liha_rest_standing_2_shot_04;8
liha_rest_standing_2_shot_05;4
liha_rest_standing_3_shot_01;8
liha_rest_standing_3_shot_02;10
liha_rest_standing_3_shot_03;10
liha_rest_standing_3_shot_04;5
liha_rest_standing_3_shot_05;8
liha_load_prone_1_shot_01;10
liha_load_prone_1_shot_02;10
liha_load_prone_1_shot_03;9
liha_load_prone_1_shot_04;10
liha_load_prone_1_shot_05;9
liha_load_prone_2_shot_01;10
liha_load_prone_2_shot_02;8
liha_load_prone_2_shot_03;8
liha_load_prone_2_shot_04;9
liha_load_prone_2_shot_05;9
liha_load_standing_1_shot_01;9
liha_load_standing_1_shot_02;2
liha_load_standing_1_shot_03;7
liha_load_standing_1_shot_04;8
liha_load_standing_1_shot_05;6
liha_load_standing_2_shot_01;5
liha_load_standing_2_shot_02;7
liha_load_standing_2_shot_03;7
liha_load_standing_2_shot_04;3
liha_load_standing_2_shot_05;0
lowa_rest_prone_1_shot_01;10
lowa_rest_prone_1_shot_02;9
lowa_rest_prone_1_shot_03;9
lowa_rest_prone_1_shot_04;9
lowa_rest_prone_1_shot_05;10
lowa_rest_prone_2_shot_01;7
lowa_rest_prone_2_shot_02;8
lowa_rest_prone_2_shot_03;9
lowa_rest_prone_2_shot_04;9
lowa_rest_prone_2_shot_05;10
lowa_rest_prone_3_shot_01;9
lowa_rest_prone_3_shot_02;9
lowa_rest_prone_3_shot_03;10
lowa_rest_prone_3_shot_04;9
lowa_rest_prone_3_shot_05;9
lowa_rest_standing_1_shot_01;8
lowa_rest_standing_1_shot_02;4
lowa_rest_standing_1_shot_03;4
lowa_rest_standing_1_shot_04;4
lowa_rest_standing_1_shot_05;4
lowa_rest_standing_2_shot_01;6
lowa_rest_standing_2_shot_02;9
lowa_rest_standing_2_shot_03;7
lowa_rest_standing_2_shot_04;4
lowa_rest_standing_2_shot_05;8
lowa_rest_standing_3_shot_01;9
lowa_rest_standing_3_shot_02;6
lowa_rest_standing_3_shot_03;7
lowa_rest_standing_3_shot_04;6
lowa_rest_standing_3_shot_05;9
lowa_load_prone_1_shot_01;6
lowa_load_prone_1_shot_02;10
lowa_load_prone_1_shot_03;9
lowa_load_prone_1_shot_04;10
lowa_load_prone_1_shot_05;8
lowa_load_standing_1_shot_01;5
lowa_load_standing_1_shot_02;9
lowa_load_standing_1_shot_03;8
lowa_load_standing_1_shot_04;4
lowa_load_standing_1_shot_05;5
lowa_load_standing_2_shot_01;7
lowa_load_standing_2_shot_02;2
lowa_load_standing_2_shot_03;2
lowa_load_standing_2_shot_04;7
lowa_load_standing_2_shot_05;4
lukr_rest_prone_1_shot_01;10
lukr_rest_prone_1_shot_02;10
lukr_rest_prone_1_shot_03;10
lukr_rest_prone_1_shot_04;9
lukr_rest_prone_1_shot_05;8
lukr_rest_prone_2_shot_01;9
lukr_rest_prone_2_shot_02;9
lukr_rest_prone_2_shot_03;10
lukr_rest_prone_2_shot_04;8
lukr_rest_prone_2_shot_05;8
lukr_rest_prone_3_shot_01;10
lukr_rest_prone_3_shot_02;10
